,Price,Age_08_04,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight
0,13500,23,46986,90,2000,3,5,210,1165
1,13750,23,72937,90,2000,3,5,210,1165
2,13950,24,41711,90,2000,3,5,210,1165
3,14950,26,48000,90,2000,3,5,210,1165
4,13750,30,38500,90,2000,3,5,210,1170
5,12950,32,61000,90,2000,3,5,210,1170
6,16900,27,94612,90,2000,3,5,210,1245
7,18600,30,75889,90,2000,3,5,210,1245
8,21500,27,19700,192,1800,3,5,100,1185
9,12950,23,71138,69,1900,3,5,185,1105
10,20950,25,31461,192,1800,3,6,100,1185
11,19950,22,43610,192,1800,3,6,100,1185
12,19600,25,32189,192,1800,3,6,100,1185
13,21500,31,23000,192,1800,3,6,100,1185
14,22500,32,34131,192,1800,3,6,100,1185
15,22000,28,18739,192,1800,3,6,100,1185
16,22750,30,34000,192,1800,3,5,100,1185
17,17950,24,21716,110,1600,3,5,85,1105
18,16750,24,25563,110,1600,3,5,19,1065
19,16950,30,64359,110,1600,3,5,85,1105
20,15950,30,67660,110,1600,3,5,85,1105
21,16950,29,43905,110,1600,3,5,100,1170
22,15950,28,56349,110,1600,3,5,85,1120
23,16950,28,32220,110,1600,3,5,85,1120
24,16250,29,25813,110,1600,3,5,85,1120
25,15950,25,28450,110,1600,3,5,85,1120
26,17495,27,34545,110,1600,3,5,85,1120
27,15750,29,41415,110,1600,3,5,85,1120
28,16950,28,44142,110,1600,3,5,85,1120
29,17950,30,11090,110,1600,3,5,85,1120
30,12950,29,9750,97,1400,3,5,19,1100
31,15750,22,35199,97,1400,3,5,85,1100
32,15950,27,29510,97,1400,3,5,85,1100
33,14950,26,32692,97,1400,3,5,85,1100
34,15500,22,41000,97,1400,3,5,85,1100
35,15750,26,43000,97,1400,3,5,85,1100
36,15950,25,25000,97,1400,3,5,85,1100
37,14950,23,10000,97,1400,3,5,85,1100
38,15750,32,25329,97,1400,3,5,85,1100
39,14750,27,27500,97,1400,3,5,85,1100
