Waist,AT,waist-mean waist,AT-mean AT,z value waist,z value AT,mean waist,mean AT
74.75,25.72,-17.15183486,-76.1740367,-1.264967044,-1.329511339,91.90183486,101.8940367
72.6,25.89,-19.30183486,-76.0040367,-1.423531953,-1.326544226,,
81.8,42.6,-10.10183486,-59.2940367,-0.745021643,-1.034894533,Std Dev waist,Std dev AT
83.95,42.8,-7.951834862,-59.0940367,-0.586456733,-1.031403812,13.55911598,57.29476272
74.65,29.84,-17.25183486,-72.0540367,-1.272342156,-1.257602498,,
71.85,21.68,-20.05183486,-80.2140367,-1.478845294,-1.400023892,,
80.9,29.08,-11.00183486,-72.8140367,-0.811397651,-1.270867235,,
83.4,32.98,-8.501834862,-68.9140367,-0.627019849,-1.202798186,,
63.5,11.44,-28.40183486,-90.4540367,-2.094667152,-1.578748779,,
73.2,32.22,-18.70183486,-69.6740367,-1.379281281,-1.216062924,,
71.9,28.32,-20.00183486,-73.5740367,-1.475157738,-1.284131973,,
75,43.86,-16.90183486,-58.0340367,-1.246529264,-1.012902994,,
73.1,38.21,-18.80183486,-63.6840367,-1.386656393,-1.111515847,,
79,42.48,-12.90183486,-59.4140367,-0.951524781,-1.036988965,,
77,30.96,-14.90183486,-70.9340367,-1.099027022,-1.238054463,,
68.85,55.78,-23.05183486,-46.1140367,-1.700098656,-0.804856055,,
75.95,43.78,-15.95183486,-58.1140367,-1.176465699,-1.014299282,,
74.15,33.41,-17.75183486,-68.4840367,-1.309217716,-1.195293138,,
73.8,43.35,-18.10183486,-58.5440367,-1.335030609,-1.021804331,,
75.9,29.31,-16.00183486,-72.5840367,-1.180153255,-1.266852907,,
76.85,36.6,-15.05183486,-65.2940367,-1.11008969,-1.139616146,,
80.9,40.25,-11.00183486,-61.6440367,-0.811397651,-1.075910498,,
79.9,35.43,-12.00183486,-66.4640367,-0.885148772,-1.160036861,,
89.2,60.09,-2.701834862,-41.8040367,-0.199263349,-0.729631029,,
82,45.84,-9.901834862,-56.0540367,-0.730271419,-0.978344861,,
92,70.4,0.098165138,-31.4940367,0.007239789,-0.54968439,,
86.6,83.45,-5.301834862,-18.4440367,-0.391016263,-0.321914881,,
80.5,84.3,-11.40183486,-17.5940367,-0.8408981,-0.307079319,,
86,78.89,-5.901834862,-23.0040367,-0.435266936,-0.401503307,,
82.5,64.75,-9.401834862,-37.1440367,-0.693395858,-0.648297243,,
83.5,72.56,-8.401834862,-29.3340367,-0.619644737,-0.511984609,,
88.1,89.31,-3.801834862,-12.5840367,-0.280389582,-0.219636771,,
90.8,78.94,-1.101834862,-22.9540367,-0.081261556,-0.400630627,,
89.4,83.55,-2.501834862,-18.3440367,-0.184513125,-0.32016952,,
102,127,10.09816514,25.1059633,0.744750996,0.438189498,,
94.5,121,2.598165138,19.1059633,0.191617591,0.333467884,,
91,107,-0.901834862,5.105963303,-0.066511332,0.089117453,,
103,129,11.09816514,27.1059633,0.818502117,0.473096702,,
80,74.02,-11.90183486,-27.8740367,-0.87777366,-0.48650235,,
79,55.48,-12.90183486,-46.4140367,-0.951524781,-0.810092136,,
83.5,73.13,-8.401834862,-28.7640367,-0.619644737,-0.502036056,,
76,50.5,-15.90183486,-51.3940367,-1.172778143,-0.897011075,,
80.5,50.88,-11.40183486,-51.0140367,-0.8408981,-0.890378706,,
86.5,140,-5.401834862,38.1059633,-0.398391375,0.665086327,,
83,96.54,-8.901834862,-5.354036697,-0.656520298,-0.093447227,,
107.1,118,15.19816514,16.1059633,1.120881712,0.281107077,,
94.3,107,2.398165138,5.105963303,0.176867367,0.089117453,,
94.5,123,2.598165138,21.1059633,0.191617591,0.368375089,,
79.7,65.92,-12.20183486,-35.9740367,-0.899898996,-0.627876528,,
79.3,81.29,-12.60183486,-20.6040367,-0.929399445,-0.359614661,,
89.8,111,-2.101834862,9.105963303,-0.155012677,0.158931862,,
83.8,90.73,-8.101834862,-11.1640367,-0.597519401,-0.194852656,,
85.2,133,-6.701834862,31.1059633,-0.494267832,0.542911111,,
75.5,41.9,-16.40183486,-59.9940367,-1.209653703,-1.047112054,,
78.4,41.71,-13.50183486,-60.1840367,-0.995775453,-1.050428239,,
78.6,58.16,-13.30183486,-43.7340367,-0.981025229,-0.763316482,,
87.8,88.85,-4.101834862,-13.0440367,-0.302514918,-0.227665428,,
86.3,155,-5.601834862,53.1059633,-0.413141599,0.926890361,,
85.5,70.77,-6.401834862,-31.1240367,-0.472142496,-0.543226557,,
83.7,75.08,-8.201834862,-26.8140367,-0.604894513,-0.468001531,,
77.6,57.05,-14.30183486,-44.8440367,-1.05477635,-0.78268998,,
84.9,99.73,-7.001834862,-2.164036697,-0.516393168,-0.037770236,,
79.8,27.96,-12.10183486,-73.9340367,-0.892523884,-1.29041527,,
108.3,123,16.39816514,21.1059633,1.209383057,0.368375089,,
119.6,90.41,27.69816514,-11.4840367,2.042770721,-0.200437809,,
119.9,106,27.99816514,4.105963303,2.064896058,0.07166385,,
96.5,144,4.598165138,42.1059633,0.339119832,0.734900736,,
105.5,121,13.59816514,19.1059633,1.002879919,0.333467884,,
105,97.13,13.09816514,-4.764036697,0.966004359,-0.083149602,,
107,166,15.09816514,64.1059633,1.1135066,1.118879986,,
107,87.99,15.09816514,-13.9040367,1.1135066,-0.242675526,,
101,154,9.098165138,52.1059633,0.670999876,0.909436759,,
97,100,5.098165138,-1.894036697,0.375995393,-0.033057763,,
100,123,8.098165138,21.1059633,0.597248755,0.368375089,,
108,217,16.09816514,115.1059633,1.187257721,2.009013701,,
100,140,8.098165138,38.1059633,0.597248755,0.665086327,,
103,109,11.09816514,7.105963303,0.818502117,0.124024657,,
104,127,12.09816514,25.1059633,0.892253238,0.438189498,,
106,112,14.09816514,10.1059633,1.039755479,0.176385464,,
109,192,17.09816514,90.1059633,1.261008842,1.572673645,,
103.5,132,11.59816514,30.1059633,0.855377677,0.525457509,,
110,126,18.09816514,24.1059633,1.334759962,0.420735896,,
110,153,18.09816514,51.1059633,1.334759962,0.891983156,,
112,158,20.09816514,56.1059633,1.482262204,0.979251168,,
108.5,183,16.59816514,81.1059633,1.224133281,1.415591224,,
104,184,12.09816514,82.1059633,0.892253238,1.433044826,,
111,121,19.09816514,19.1059633,1.408511083,0.333467884,,
108.5,159,16.59816514,57.1059633,1.224133281,0.99670477,,
121,245,29.09816514,143.1059633,2.14602229,2.497714564,,
109,137,17.09816514,35.1059633,1.261008842,0.61272552,,
97.5,165,5.598165138,63.1059633,0.412870953,1.101426384,,
105.5,152,13.59816514,50.1059633,1.002879919,0.874529554,,
98,181,6.098165138,79.1059633,0.449746513,1.38068402,,
94.5,80.95,2.598165138,-20.9440367,0.191617591,-0.365548886,,
97,137,5.098165138,35.1059633,0.375995393,0.61272552,,
105,125,13.09816514,23.1059633,0.966004359,0.403282293,,
106,241,14.09816514,139.1059633,1.039755479,2.427900155,,
99,134,7.098165138,32.1059633,0.523497634,0.560364714,,
91,150,-0.901834862,48.1059633,-0.066511332,0.83962235,,
102.5,198,10.59816514,96.1059633,0.781626557,1.677395258,,
106,151,14.09816514,49.1059633,1.039755479,0.857075952,,
109.1,229,17.19816514,127.1059633,1.268383954,2.218456928,,
115,253,23.09816514,151.1059633,1.703515566,2.637343382,,
101,188,9.098165138,86.1059633,0.670999876,1.502859235,,
100.1,124,8.198165138,22.1059633,0.604623867,0.385828691,,
93.3,62.2,1.398165138,-39.6940367,0.103116246,-0.692803929,,
101.8,133,9.898165138,31.1059633,0.730000772,0.542911111,,
107.9,208,15.99816514,106.1059633,1.179882609,1.851931281,,
108.5,208,16.59816514,106.1059633,1.224133281,1.851931281,,
